query,result
change management industry 4.0,4
change management iot,4
change management smart factory,0
change management internet of things,1
change management cyber phycal system,0
change management wireless sensor network,0
digital management industry 4.0,9
digital management iot,10
digital management smart factory,1
digital management internet of things,10
digital management cyber phycal system,0
digital management wireless sensor network,2
innovation management industry 4.0,5
innovation management iot,5
innovation management smart factory,0
innovation management internet of things,8
innovation management cyber phycal system,0
innovation management wireless sensor network,0
organizational change industry 4.0,2
organizational change iot,1
organizational change smart factory,0
organizational change internet of things,0
organizational change cyber phycal system,0
organizational change wireless sensor network,0
technological innovation industry 4.0,5
technological innovation iot,2
technological innovation smart factory,0
technological innovation internet of things,6
technological innovation cyber phycal system,0
technological innovation wireless sensor network,0
idea management industry 4.0,0
idea management iot,2
idea management smart factory,0
idea management internet of things,0
idea management cyber phycal system,0
idea management wireless sensor network,0
knowledge innovation industry 4.0,2
knowledge innovation iot,0
knowledge innovation smart factory,0
knowledge innovation internet of things,2
knowledge innovation cyber phycal system,0
knowledge innovation wireless sensor network,0
economic innovation industry 4.0,1
economic innovation iot,0
economic innovation smart factory,0
economic innovation internet of things,1
economic innovation cyber phycal system,0
economic innovation wireless sensor network,0
